seat_code,state,seat,current_party,personal_name
P116,W.P. Kuala Lumpur,Wangsa Maju,PKR,TAN YEE KEW
P117,W.P. Kuala Lumpur,Segambut,DAP,YEOH TSEOW SUAN
P118,W.P. Kuala Lumpur,Setiawangsa,PKR,NIK NAZMI BIN NIK AHMAD
P119,W.P. Kuala Lumpur,Titiwangsa,PPBM,RINA BINTI MOHD HARUN
P120,W.P. Kuala Lumpur,Bukit Bintang,DAP,FONG KUI LUN
P121,W.P. Kuala Lumpur,Lembah Pantai,PKR,AHMAD FAHMI BIN MOHAMED FADZIL
P122,W.P. Kuala Lumpur,Seputeh,DAP,TERESA KOK SUH SIM
P123,W.P. Kuala Lumpur,Cheras,DAP,TAN KOK WAI
P124,W.P. Kuala Lumpur,Bandar Tun Razak,PPBM,KAMARUDIN BIN JAFFAR
P125,W.P. Putrajaya,Putrajaya,UMNO,TENGKU ADNAN BIN TENGKU MANSOR
P126,Negeri Sembilan,Jelebu,UMNO,JALALUDDIN BIN ALIAS
P127,Negeri Sembilan,Jempol,UMNO,MOHD SALIM BIN SHARIF @ MOHD SHARIF
P128,Negeri Sembilan,Seremban,DAP,LOKE SIEW FOOK
P129,Negeri Sembilan,Kuala Pilah,PPBM,EDDIN SYAZLEE BIN SHITH
P130,Negeri Sembilan,Rasah,DAP,CHA KEE CHIN
P131,Negeri Sembilan,Rembau,UMNO,KHAIRY JAMALUDDIN ABU BAKAR
P132,Negeri Sembilan,Port Dickson,PKR,ANWAR BIN IBRAHIM
P133,Negeri Sembilan,Tampin,AMANAH,HASAN BIN BAHROM
P134,Melaka,Masjid Tanah,PPBM,MAS ERMIEYATI BINTI SAMSUDIN
P135,Melaka,Alor Gajah,PPBM,MOHD REDZUAN BIN YUSOF
P136,Melaka,Tangga Batu,PKR,RUSNAH BINTI ALUAI
P137,Melaka,Hang Tuah Jaya,PKR,SHAMSUL ISKANDAR @ YUSRE BIN MOHD AKIN
P138,Melaka,Kota Melaka,DAP,KHOO POAY TIONG
P139,Melaka,Jasin,UMNO,AHMAD BIN HAMZAH
P140,Johor,Segamat,PPBM,SANTHARA KUMAR A/L RAMANAIDU
P141,Johor,Sekijang,PKR,NATRAH BINTI ISMAIL
P142,Johor,Labis,DAP,PANG HOK LIONG
P143,Johor,Pagoh,PPBM,MAHIADDIN BIN MD YASIN
P144,Johor,Ledang,PKR,SYED IBRAHIM BIN SYED NOH
P145,Johor,Bakri,DAP,YEO BEE YIN
P146,Johor,Muar,MUDA,SYED SADDIQ BIN SYED ABDUL RAHMAN
P147,Johor,Parit Sulong,UMNO,NORAINI BINTI AHMAD
P148,Johor,Ayer Hitam,MCA,WEE KA SIONG
P149,Johor,Sri Gading,PEJUANG,SHARUDDIN BIN MD SALLEH
P150,Johor,Batu Pahat,PPBM,MOHD RASHID BIN HASNON
P151,Johor,Simpang Renggam,PKR,MASZLEE BIN MALIK
P152,Johor,Kluang,DAP,WONG SHU QI
P153,Johor,Sembrong,UMNO,HISHAMMUDDIN BIN DATUK HUSSEIN
P154,Johor,Mersing,PPBM,ABD LATIFF BIN AHMAD
P155,Johor,Tenggara,UMNO,ADHAM BIN BABA
P156,Johor,Kota Tinggi,UMNO,HALIMAH BINTI MOHD SADIQUE
P157,Johor,Pengerang,UMNO,AZALINA BINTI OTHMAN
P158,Johor,Tebrau,Independent,CHOONG SHIAU YOON
P159,Johor,Pasir Gudang,PKR,HASSAN BIN ABDUL KARIM
P160,Johor,Johor Bahru,PKR,AKMAL NASRULLAH BIN MOHD NASIR
P161,Johor,Pulai,AMANAH,SALAHUDDIN BIN AYUB
P162,Johor,Iskandar Puteri,DAP,LIM KIT SIANG
P163,Johor,Kulai,DAP,TEO NIE CHING
P164,Johor,Pontian,UMNO,AHMAD BIN MASLAN
P165,Johor,Tanjung Piai,MCA,WEE JECK SENG
P166,W.P. Labuan,Labuan,WARISAN,ROZMAN BIN ISLI
P167,Sabah,Kudat,PPBM,ABD RAHIM BIN BAKRI
P168,Sabah,Kota Marudu,PBS,JOHNITY @ MAXIMUS BIN ONGKILI
P169,Sabah,Kota Belud,WARISAN,ISNARAISSAH MUNIRAH BT MAJILIS @ FAKHARUDY
P170,Sabah,Tuaran,UPKO,MADIUS BIN TANGAU
P171,Sabah,Sepanggar,WARISAN,MOHD AZIS BIN JAMMAN
